iter	Passed	Remaining
1558	377925	349320
1559	377938	348866
1560	378701	349104
1561	378793	348722
1562	379536	348940
1563	379904	348812
1564	379908	348350
1565	380626	348542
1566	381332	348722
1567	382129	348985
1568	382132	348522
1569	382882	348739
1570	382904	348294
1571	383697	348549
1572	384401	348723
1573	384403	348259
1574	384768	348123
1575	385452	348276
1576	386142	348434
1577	386805	348566
1578	387506	348730
1579	388172	348863
1580	388851	349007
1581	389523	349143
1582	390152	349239
1583	390792	349344
1584	390796	348881
1585	390963	348563
1586	390967	348101
1587	391724	348309
1588	392051	348133
1589	392071	347686
1590	392241	347371
1591	392246	346911
1592	392911	347034
1593	393573	347154
1594	394223	347262
1595	394857	347355
1596	395481	347439
1597	395483	346976
1598	396114	347064
1599	396734	347142
1600	397360	347225
1601	397995	347314
1602	398304	347118
1603	398911	347182
1604	398993	346788
1605	399606	346856
1606	399608	346393
1607	400217	346456
1608	400824	346517
1609	400828	346056
1610	401445	346125
1611	401447	345662
1612	401751	345461
1613	401825	345061
1614	402131	344861
1615	402763	344941
1616	403069	344740
1617	403684	344803
1618	403803	344442
1619	404412	344499
1620	405012	344547
1621	405623	344605
1622	406224	344652
1623	406227	344192
1624	406845	344253
1625	407485	344333
1626	407802	344138
1627	407805	343678
1628	408439	343750
1629	409073	343822
1630	409686	343875
1631	409992	343669
1632	410621	343735
1633	411251	343800
1634	411888	343870
1635	412537	343949
1636	413246	344077
1637	413935	344188
1638	414602	344279
1639	415246	344350
1640	415879	344412
1641	416529	344486
1642	416532	344026
1643	416847	343822
1644	417480	343882
1645	417810	343690
1646	417821	343238
1647	418457	343297
1648	418634	342981
1649	418948	342776
1650	419571	342823
1651	419577	342366
1652	420217	342427
1653	420294	342028
1654	420609	341824
1655	421257	341889
1656	421336	341493
1657	421342	341038
1658	421971	341087
1659	421991	340643
